protocol,faults,delay_ms,rate,run,tps,latency_ms
narwhal,0,100,270000,3,97465.49478477176,7111.948563538654
narwhal,0,100,270000,mean,90250.5,6744.1
wahoo,0,100,60000,1,52359.78835992377,3608.275226285308
wahoo,0,100,60000,2,52320.81565810187,3626.261860838433
wahoo,0,100,60000,3,52420.83386129524,3617.7457741735093
wahoo,0,100,60000,mean,52367.1,3617.4
wahoo,0,100,130000,1,114187.46294421227,3662.066916916408
wahoo,0,100,130000,2,114164.93589381422,3684.2389180890473
wahoo,0,100,130000,3,113931.89731758111,3687.6131169477662
wahoo,0,100,130000,mean,114094.8,3678.0
wahoo,0,100,200000,1,135619.28804304064,3679.8202986062065
wahoo,0,100,200000,2,134900.2118544078,3639.7079834604565
wahoo,0,100,200000,3,135445.01249506703,3694.0481055886257
wahoo,0,100,200000,mean,135321.5,3671.2
wahoo,0,100,270000,1,135999.00827251634,3664.3695540834165
wahoo,0,100,270000,2,135128.9324224553,3666.4109844933146
wahoo,0,100,270000,3,136136.08828198083,3676.7258971429915
wahoo,0,100,270000,mean,135754.7,3669.2
narwhal,1,100,60000,1,42161.850676899194,7082.777722014322
narwhal,1,100,60000,2,33760.07128895414,6799.325608929922
narwhal,1,100,60000,3,41581.31642233008,7133.870342746377
narwhal,1,100,60000,mean,39167.7,7005.3
narwhal,1,100,130000,1,92449.50508933583,6318.877198953568
narwhal,1,100,130000,2,91495.76369782102,6476.649963107005
narwhal,1,100,130000,3,92672.3004203594,6441.31853795085
narwhal,1,100,130000,mean,92205.9,6412.3
narwhal,1,100,200000,1,90432.59822280967,6942.85888668442
narwhal,1,100,200000,2,90434.58668705744,7319.890723569053
narwhal,1,100,200000,3,92468.28090197191,6351.935829743847
narwhal,1,100,200000,mean,91111.8,6871.6
narwhal,1,100,270000,1,92180.90579394718,6968.908348283568
narwhal,1,100,270000,2,92308.35339615334,6304.960208790406
narwhal,1,100,270000,3,92596.10388663833,7287.009134909607
narwhal,1,100,270000,mean,92361.8,6853.6
wahoo,1,100,60000,1,53292.159296391175,3498.0437034980746
wahoo,1,100,60000,2,51729.84229517747,3944.048633250587
wahoo,1,100,60000,3,53150.11755715059,3499.505246825596
wahoo,1,100,60000,mean,52724.0,3647.2
wahoo,1,100,130000,1,116445.06814202665,3533.1705584116903
wahoo,1,100,130000,2,116046.06666666667,3523.59344488071
wahoo,1,100,130000,3,115671.4877618182,3564.2097759505973
wahoo,1,100,130000,mean,116054.2,3540.3
wahoo,1,100,200000,1,127160.82005973907,3554.7207882874613
wahoo,1,100,200000,2,126425.4027194859,3492.153806592674
wahoo,1,100,200000,3,126010.25684502865,3620.9081949156807
wahoo,1,100,200000,mean,126532.2,3555.9
wahoo,1,100,270000,1,127838.1010743475,3574.141665814334
wahoo,1,100,270000,2,125108.58733145951,3815.152045192681
wahoo,1,100,270000,3,122582.37538625684,3585.6932180319977
wahoo,1,100,270000,mean,125176.4,3658.3
narwhal,3,100,60000,1,42656.10805955617,6895.998448824403
narwhal,3,100,60000,2,42673.76267313993,8528.14949412955
narwhal,3,100,60000,3,42340.410333050335,6565.13650140097
narwhal,3,100,60000,mean,42556.8,7329.8
narwhal,3,100,130000,1,50097.6860831669,6903.326100507144
narwhal,3,100,130000,2,68093.43764677439,6782.61337007663
narwhal,3,100,130000,3,30993.322111464127,5778.610215086231
narwhal,3,100,130000,mean,49728.1,6488.2
narwhal,3,100,200000,1,49142.55202277718,5976.742211356759
narwhal,3,100,200000,2,66889.31354403417,6577.341145160151
narwhal,3,100,200000,3,46226.518165517315,6198.386175010857
narwhal,3,100,200000,mean,54086.1,6250.8
narwhal,3,100,270000,1,65017.04162100222,5958.964956283569
narwhal,3,100,270000,2,49229.08444679976,6130.6311041809795
narwhal,3,100,270000,3,60669.66008737619,5988.082159799598
narwhal,3,100,270000,mean,58305.3,6025.9
wahoo,3,100,60000,1,54673.94031540794,3876.82075555614
wahoo,3,100,60000,2,53527.06669251558,4416.140836984377
wahoo,3,100,60000,3,52098.96825104184,3132.003452576382
wahoo,3,100,60000,mean,53433.3,3808.3
wahoo,3,100,130000,1,98306.74514437128,3799.061132038876
wahoo,3,100,130000,2,97339.95661990745,3224.4539296219687
wahoo,3,100,130000,3,59795.05341985693,3151.5191295594545
wahoo,3,100,130000,mean,85147.3,3391.7
wahoo,3,100,200000,1,89282.84786661487,3182.3962227914412
wahoo,3,100,200000,2,86187.63761053143,3720.4196820555826
wahoo,3,100,200000,3,92154.65155716914,3750.7137915084572
wahoo,3,100,200000,mean,89208.4,3551.2
